"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
75573203,"HOOD SWEAT",101,25.05470588,54.99,2530.12,5327.64,2797.52,0.54446263,In-store,MED,755732,"CHAR GRY"
75573204,"HOOD SWEAT",126,25.05461538,54.99,3156.87,6662.17,3505.3,0.54446263,In-store,LG,755732,"CHAR GRY"
75573205,"HOOD SWEAT",74,25.05428571,54.99,1852.64,4031.48,2178.84,0.54446263,In-store,XL,755732,"CHAR GRY"
75573206,"HOOD SWEAT",27,25.05,54.99,676.4,1407.73,731.33,0.54446263,In-store,XXL,755732,"CHAR GRY"
75586002,"HOOD SWEAT",76,25.059,54.99,1904.18,4129.8,2225.62,0.544280778,In-store,SM,755860,RD
75586003,"HOOD SWEAT",132,25.05909091,54.99,3304.77,7044.37,3739.6,0.544280778,In-store,MED,755860,RD
75586004,"HOOD SWEAT",148,25.05833333,54.99,3699.8,7786.55,4086.75,0.544280778,In-store,LG,755860,RD
75586005,"HOOD SWEAT",59,25.058,54.99,1478.03,3091.21,1613.18,0.544280778,In-store,XL,755860,RD
75586006,"HOOD SWEAT",28,25.05777778,54.99,697.43,1481.94,784.51,0.544280778,In-store,XXL,755860,RD
75593502,"HOOD SWEAT",120,25.059375,54.99,3007.07,6310.14,3303.07,0.544280778,In-store,SM,755935,WHT
75593503,"HOOD SWEAT",127,25.055,54.99,3156.71,6729.17,3572.46,0.544280778,In-store,MED,755935,WHT
75593504,"HOOD SWEAT",78,25.05473684,54.99,1903.96,4230.2,2326.24,0.54446263,In-store,LG,755935,WHT
75593505,"HOOD SWEAT",55,25.05888889,54.99,1378.14,2952.02,1573.88,0.544280778,In-store,XL,755935,WHT
75593506,"HOOD SWEAT",25,25.055,54.99,626.4,1328.65,702.25,0.544280778,In-store,XXL,755935,WHT
75603002,"HOOD SWEAT BLACK SM",95,25.05038462,54.99,2379.33,5095,2715.67,0.54446263,In-store,SM,756030,BLK
75603003,"HOOD SWEAT BLACK MED",125,25.051,54.99,3131.11,6709.28,3578.17,0.54446263,In-store,MED,756030,BLK
75603004,"HOOD SWEAT BLACK LG",128,25.0509375,54.99,3206.7,6953.44,3746.74,0.54446263,In-store,LG,756030,BLK
75603005,"HOOD SWEAT BLACK XL",80,25.05148148,54.99,2004.11,4165.16,2161.05,0.54446263,In-store,XL,756030,BLK
75603006,"HOOD SWEAT BLACK XXL",16,25.05428571,54.99,400.32,860.53,460.21,0.54446263,In-store,XXL,756030,BLK
75613202,"HOOD SWEAT",43,25.04625,54.99,1070.87,2349.81,1278.94,0.54446263,In-store,SM,756132,BLK
75613203,"HOOD SWEAT",78,25.05333333,54.99,1953.39,4261,2307.61,0.54446263,In-store,MED,756132,BLK
75613204,"HOOD SWEAT",84,25.06461538,54.99,2125.63,4405.34,2279.71,0.544280778,In-store,LG,756132,BLK
75613205,"HOOD SWEAT",55,25.0647619,54.99,1391.25,2979.74,1588.49,0.544280778,In-store,XL,756132,BLK
75613206,"HOOD SWEAT",13,25.07333333,54.99,331.19,713.57,382.38,0.544098927,In-store,XXL,756132,BLK
75626002,"HOOD SWEAT",41,25.05772727,54.99,1027.32,2161.53,1134.21,0.544280778,In-store,SM,756260,RD
75626003,"HOOD SWEAT",87,25.05485714,54.99,2180.11,4636.37,2456.26,0.54446263,In-store,MED,756260,RD
75626004,"HOOD SWEAT",66,25.0584375,54.99,1645.6,3557.03,1911.43,0.544280778,In-store,LG,756260,RD
75626005,"HOOD SWEAT",43,25.035,54.99,1065,2257.04,1192.04,0.544644481,In-store,XL,756260,RD
75626006,"HOOD SWEAT",13,25.06,54.99,321.41,676.37,354.96,0.544280778,In-store,XXL,756260,RD
75633202,"HOOD SWEAT",85,25.056875,54.99,2129.28,4468.73,2339.45,0.544280778,In-store,SM,756332,Unknown
75633203,"HOOD SWEAT",134,25.06,54.99,3357.41,7133.36,3775.95,0.544280778,In-store,MED,756332,Unknown
75633204,"HOOD SWEAT",133,25.05666667,54.99,3330.3,7191.8,3861.5,0.544280778,In-store,LG,756332,Unknown
75633205,"HOOD SWEAT",71,25.05631579,54.99,1777.66,3850.7,2073.04,0.544280778,In-store,XL,756332,Unknown
75633206,"HOOD SWEAT",42,25.06,54.99,1050.97,2176.68,1125.71,0.544280778,In-store,XXL,756332,Unknown
10453002,"HOOD NCSU/WLFHD HTHR BLK SM",1,33.97545455,69.99,34.35,69.99,35.64,0.514502072,Online,SM,104530,"HTHR BLK"
10453003,"HOOD NCSU/WLFHD HTHR BLK MED",6,33.452,69.99,207.86,388.44,180.58,0.522074582,Online,MED,104530,"HTHR BLK"
10453004,"HOOD NCSU/WLFHD HTHR BLK LG",7,34.26481481,69.99,242.8,489.93,247.13,0.5105015,Online,LG,104530,"HTHR BLK"
10453005,"HOOD NCSU/WLFHD HTHR BLK XL",6,34.1837931,69.99,208.2,419.94,211.74,0.511644521,Online,XL,104530,"HTHR BLK"
10453006,"HOOD NCSU/WLFHD HTHR BLK XXL",1,33.66333333,69.99,34.52,69.99,35.47,0.519074154,Online,XXL,104530,"HTHR BLK"
10463202,"HOOD NCSU HTHR GRY SM",4,34.59142857,69.99,135.53,258.96,123.43,0.505786541,Online,SM,104632,"HTHR GRY"
10463203,"HOOD NCSU HTHR GRY MED",10,34.62,69.99,330.66,699.9,369.24,0.505357908,Online,MED,104632,"HTHR GRY"
10463204,"HOOD NCSU HTHR GRY LG",9,34.31423077,69.99,301.18,629.91,328.73,0.509787112,Online,LG,104632,"HTHR GRY"
10463205,"HOOD NCSU HTHR GRY XL",1,34.21,69.99,29.96,69.99,40.03,0.511215888,Online,XL,104632,"HTHR GRY"
10474203,"HOOD NCSU HTHR TAUPE MED",3,34.27454545,69.99,104.46,209.97,105.51,0.510358623,Online,MED,104742,TAUPE
10474204,"HOOD NCSU HTHR TAUPE LG",1,34.22310345,69.99,34.82,69.99,35.17,0.51107301,Online,LG,104742,TAUPE
10474205,"HOOD NCSU HTHR TAUPE XL",4,34.36518519,69.99,139.28,258.96,119.68,0.508929847,Online,XL,104742,TAUPE
10474206,"HOOD NCSU HTHR TAUPE XXL",1,34.332,69.99,34.82,69.99,35.17,0.509501357,Online,XXL,104742,TAUPE
1206502,"HOOD WBBALL PINK/BLK SM",2,15.85,35.99,31.7,71.98,40.28,0.559599889,Online,SM,12065,PINK/BLK
1206504,"HOOD WBBALL PINK/BLK LG",4,15.85,35.99,63.4,128.84,65.44,0.559599889,Online,LG,12065,PINK/BLK
1206505,"HOOD WBBALL PINK/BLK XL",1,15.85,35.99,15.85,28.43,12.58,0.559599889,Online,XL,12065,PINK/BLK
1206506,"HOOD WBBALL PINK/BLK XXL",1,15.85,35.99,15.85,35.99,20.14,0.559599889,Online,XXL,12065,PINK/BLK
12483202,"STADIUM HOOD GRY SM",8,38.42666667,76.99,302.51,504.27,201.76,0.500844266,Online,SM,124832,GRY
12483203,"STADIUM HOOD GRY MED",4,38.41333333,76.99,151.37,307.96,156.59,0.50110404,Online,MED,124832,GRY
12483205,"STADIUM HOOD GRY XL",5,38.48,76.99,189.35,296.4,107.05,0.500194831,Online,XL,124832,GRY
12483206,"STADIUM HOOD GRY XXL",2,38.19,76.99,74.93,153.98,79.05,0.503961553,Online,XXL,124832,GRY
12496002,"STADIUM HOOD RED SM",1,38.48,76.99,37.87,76.99,39.12,0.500194831,Online,SM,124960,RED
12496003,"STADIUM HOOD RED MED",5,38.523,76.99,197.59,338.75,141.16,0.499675283,Online,MED,124960,RED
12496004,"STADIUM HOOD RED LG",9,38.635,76.99,356.04,588.96,232.92,0.498116639,Online,LG,124960,RED
12496005,"STADIUM HOOD RED XL",1,38.59466667,76.99,39.28,76.99,37.71,0.498766074,Online,XL,124960,RED
12496006,"STADIUM HOOD RED XXL",2,38.635,76.99,77.26,134.73,57.47,0.498116639,Online,XXL,124960,RED
1293204,"RWHOOD APP SLV GRY LG",12,40.84,82.99,482.25,911.22,428.97,0.507892517,Online,LG,12932,GRY
1293206,"RWHOOD APP SLV GRY XXL",2,40.84,82.99,80.1,165.98,85.88,0.507892517,Online,XXL,12932,GRY
1303002,"RWHOOD NCST/WP BLK SM",1,33.16,69.99,33.16,69.99,36.83,0.526218031,Online,SM,13030,BLK
1303003,"RWHOOD NCST/WP BLK MED",6,33.16,69.99,198.96,398.94,199.98,0.526218031,Online,MED,13030,BLK
1303004,"RWHOOD NCST/WP BLK LG",4,33.16,69.99,132.64,237.96,105.32,0.526218031,Online,LG,13030,BLK
1303005,"RWHOOD NCST/WP BLK XL",6,33.16,69.99,198.96,398.94,199.98,0.526218031,Online,XL,13030,BLK
1303006,"RWHOOD NCST/WP BLK XXL",1,33.16,69.99,33.16,48.99,15.83,0.526218031,Online,XXL,13030,BLK
21676002,"HOOD SWEAT WLFHD RED/BLK SM",1,26.25,59.99,26.25,41.99,15.74,0.562427071,Online,SM,216760,RED/BLK
21676005,"HOOD SWEAT WLFHD RED/BLK XL",1,26.25,59.99,26.25,59.99,33.74,0.562427071,Online,XL,216760,RED/BLK
21683005,"HOOD SWEAT WLFHD BLK/RED XL",2,26.25,59.99,52.5,104.98,52.48,0.562427071,Online,XL,216830,BLK/RED
21683006,"HOOD SWEAT WLFHD BLK/RED XXL",2,26.25,59.99,52.5,104.98,52.48,0.562427071,Online,XXL,216830,BLK/RED
21696005,"POLY FLEECE HOOD RD/BLK XL",1,24,55.99,24,55.99,31.99,0.571352027,Online,XL,216960,RD/BLK
21834203,"BIG STRIPE HOOD OAT/RD MED",1,31.25,66.99,31.25,66.99,35.74,0.533512465,Online,MED,218342,OAT/RD
21834204,"BIG STRIPE HOOD OAT/RD LG",2,31.25,66.99,62.5,133.98,71.48,0.533512465,Online,LG,218342,OAT/RD
21834205,"BIG STRIPE HOOD OAT/RD XL",1,31.25,66.99,31.25,46.89,15.64,0.533512465,Online,XL,218342,OAT/RD
21846003,"BIG STRIPE HOOD RD/BLK MED",1,31.25,66.99,31.25,66.99,35.74,0.533512465,Online,MED,218460,RD/BLK
21846005,"BIG STRIPE HOOD RD/BLK XL",1,31.25,66.99,31.25,66.99,35.74,0.533512465,Online,XL,218460,RD/BLK
23033204,"MENS RW HOOD SILV HTHR LG",1,36.25,78.99,36.25,55.29,19.04,0.54108115,Online,LG,230332,HTHR
23033206,"MENS RW HOOD SILV HTHR XXL",2,36.25,78.99,72.5,157.98,85.48,0.54108115,Online,XXL,230332,HTHR
23043003,"MENS RW HOOD BLK MED",0,36.25,78.99,0,0,0,0.54108115,Online,MED,230430,BLK
23043005,"MENS RW HOOD BLK XL",2,36.25,78.99,72.5,134.28,61.78,0.54108115,Online,XL,230430,BLK
25176003,"BLEND FULLZIP HOODIE RD MED",3,26,56,78,168,90,0.535714286,Online,MED,251760,RD
25176004,"BLEND FULLZIP HOODIE RD LG",3,26,56,78,151.2,73.2,0.535714286,Online,LG,251760,RD
25176005,"BLEND FULLZIP HOODIE RD XL",5,26,56,130,229.6,99.6,0.535714286,Online,XL,251760,RD
25176006,"BLEND FULLZIP HOODIE RD XXL",1,26,56,26,39.2,13.2,0.535714286,Online,XXL,251760,RD
25203203,"HOODED 3",1,26,55,26,38.5,12.5,0.527272727,Online,MED,252032,Unknown
25203204,"HOODED 3",5,26,55,130,244.75,114.75,0.527272727,Online,LG,252032,Unknown
25203205,"HOODED 3",1,26,55,26,55,29,0.527272727,Online,XL,252032,Unknown
25203206,"HOODED 3",1,26,55,26,55,29,0.527272727,Online,XXL,252032,Unknown
25213205,"SPECKLE FLC HOODIE CHAR GRY XL",1,27.5,65,27.5,65,37.5,0.576923077,Online,XL,252132,"CHAR GRY"
25213207,"SPECKLE FLC HOODIE CHAR GRY 3XL",1,29.5,65,29.5,45.5,16,0.546153846,Online,3XL,252132,"CHAR GRY"
25233204,"ADULT BLEND FLC HOODIE GRY LG",1,24,55,24,55,31,0.563636364,Online,LG,252332,GRY
25246002,"ADULT HOCKEY HOODIE RD/BL/WHT SM",1,32,68,32,68,36,0.529411765,Online,SM,252460,RD/BL/WHT
25246003,"ADULT HOCKEY HOODIE RD/BL/WHT MED",3,32,68,96,163.2,67.2,0.529411765,Online,MED,252460,RD/BL/WHT
25246004,"ADULT HOCKEY HOODIE RD/BL/WHT LG",2,32,68,64,136,72,0.529411765,Online,LG,252460,RD/BL/WHT
25246005,"ADULT HOCKEY HOODIE RD/BL/WHT XL",2,32,68,64,136,72,0.529411765,Online,XL,252460,RD/BL/WHT
25246006,"ADULT HOCKEY HOODIE RD/BL/WHT XXL",2,32,68,64,136,72,0.529411765,Online,XXL,252460,RD/BL/WHT
25246007,"ADULT HOCKEY HOODIE RD/BL/WHT 3XL",1,34,68,34,68,34,0.5,Online,3XL,252460,RD/BL/WHT
30696003,"HOOD SWEAT WP DAD RED MED",2,28.35,59.99,56.7,86.98,30.28,0.527421237,Online,MED,306960,RED
30696004,"HOOD SWEAT WP DAD RED LG",3,28.35,59.99,85.05,164.97,79.92,0.527421237,Online,LG,306960,RED
30696005,"HOOD SWEAT WP DAD RED XL",2,28.35,59.99,56.7,83.98,27.28,0.527421237,Online,XL,306960,RED
30696006,"HOOD SWEAT WP DAD RED XXL",1,28.35,59.99,28.35,59.99,31.64,0.527421237,Online,XXL,306960,RED
30726003,"HOOD SWEAT NCST MOM RED MED",4,27.74,59.99,110.96,206.96,96,0.537589598,Online,MED,307260,RED
30726004,"HOOD SWEAT NCST MOM RED LG",3,27.74,59.99,83.22,143.97,60.75,0.537589598,Online,LG,307260,RED
30726005,"HOOD SWEAT NCST MOM RED XL",1,27.74,59.99,27.74,41.99,14.25,0.537589598,Online,XL,307260,RED
35863203,"HOODIE GREY MED",2,23.54,52.99,47.08,53,5.92,0.555765239,Online,MED,358632,GREY
35876002,"HOODIE RED SM",4,23.54,52.99,94.16,211.96,117.8,0.555765239,Online,SM,358760,RED
35876003,"HOODIE RED MED",5,23.54,52.99,117.7,264.95,147.25,0.555765239,Online,MED,358760,RED
36933205,"RW FZIP HOOD SLV GRY XL",-1,36.4,76.99,-36.4,-61.59,-25.19,0.527211326,Online,XL,369332,GRY
37316002,"HOOD SWEAT RED SM",1,15.12,35.99,15.12,35.99,20.87,0.579883301,Online,SM,373160,RED
37316003,"HOOD SWEAT RED MED",3,15.12,35.99,45.36,107.97,62.61,0.579883301,Online,MED,373160,RED
37316004,"HOOD SWEAT RED LG",2,15.12,35.99,30.24,71.98,41.74,0.579883301,Online,LG,373160,RED
37316005,"HOOD SWEAT RED XL",0,15.12,35.99,0,10.8,10.8,0.579883301,Online,XL,373160,RED
37316006,"HOOD SWEAT RED XXL",4,15.12,35.99,60.48,143.96,83.48,0.579883301,Online,XXL,373160,RED
37333003,"HOOD SWEAT BLK MED",-2,15.095,35.99,-30.19,-50.38,-20.19,0.580439011,Online,MED,373330,BLK
37333004,"HOOD SWEAT BLK LG",1,11.89,35.99,15.12,35.99,20.87,0.669630453,Online,LG,373330,BLK
37333005,"HOOD SWEAT BLK XL",3,15.12,35.99,45.36,107.97,62.61,0.579883301,Online,XL,373330,BLK
37333007,"HOOD SWEAT BLK 3XL",1,17.56,37.99,17.56,37.99,20.43,0.537773098,Online,3XL,373330,BLK
37403502,"HOOD SWEAT WHT SM",1,15.12,35.99,15.12,35.99,20.87,0.579883301,Online,SM,374035,WHT
37403503,"HOOD SWEAT WHT MED",3,15.12,35.99,45.36,107.97,62.61,0.579883301,Online,MED,374035,WHT
37403504,"HOOD SWEAT WHT LG",1,15.12,35.99,15.12,35.99,20.87,0.579883301,Online,LG,374035,WHT
37403505,"HOOD SWEAT WHT XL",1,15.12,35.99,15.12,35.99,20.87,0.579883301,Online,XL,374035,WHT
37403506,"HOOD SWEAT WHT XXL",1,15.12,35.99,15.12,35.99,20.87,0.579883301,Online,XXL,374035,WHT
38543203,"RW HOOD VAULT 1983 GRY MED",2,39.27,84.99,78.54,169.98,91.44,0.537945641,Online,MED,385432,GRY
38543204,"RW HOOD VAULT 1983 GRY LG",3,39.27,84.99,117.81,237.12,119.31,0.537945641,Online,LG,385432,GRY
38543205,"RW HOOD VAULT 1983 GRY XL",6,39.27,84.99,235.62,467.45,231.83,0.537945641,Online,XL,385432,GRY
38543206,"RW HOOD VAULT 1983 GRY XXL",2,39.27,84.99,78.54,169.98,91.44,0.537945641,Online,XXL,385432,GRY
38876002,"FR. TERRY BLEND HOODIE RED/GRY SM",2,28,60,56,120,64,0.533333333,Online,SM,388760,RED/GRY
38876003,"FR. TERRY BLEND HOODIE RED/GRY MED",5,28,60,140,300,160,0.533333333,Online,MED,388760,RED/GRY
38876004,"FR. TERRY BLEND HOODIE RED/GRY LG",5,28,60,140,300,160,0.533333333,Online,LG,388760,RED/GRY
38876005,"FR. TERRY BLEND HOODIE RED/GRY XL",4,28,60,112,228,116,0.533333333,Online,XL,388760,RED/GRY
38876006,"FR. TERRY BLEND HOODIE RED/GRY XXL",4,28,60,112,240,128,0.533333333,Online,XXL,388760,RED/GRY
39913003,"STADIUM HOOD BLK/RED MED",1,22.5,49.99,22.5,49.99,27.49,0.549909982,Online,MED,399130,BLK/RED
39913004,"STADIUM HOOD BLK/RED LG",1,22.5,49.99,22.5,49.99,27.49,0.549909982,Online,LG,399130,BLK/RED
4123002,"HOODIE BLK SM",1,29.83,62.99,28.15,59.99,31.84,0.526432767,Online,SM,41230,BLK
4123003,"HOODIE BLK MED",4,29.83,62.99,112.6,239.96,127.36,0.526432767,Online,MED,41230,BLK
4123004,"HOODIE BLK LG",7,29.83,62.99,201.79,428.93,227.14,0.526432767,Online,LG,41230,BLK
4123005,"HOODIE BLK XL",6,29.83,62.99,168.9,359.94,191.04,0.526432767,Online,XL,41230,BLK
4123006,"HOODIE BLK XXL",2,29.83,62.99,57.98,122.98,65,0.526432767,Online,XXL,41230,BLK
60916003,"HOOD SWEAT OLD TUFFY RED MED",1,25.49,55.99,25.49,55.99,30.5,0.544740132,Online,MED,609160,RED
60916004,"HOOD SWEAT OLD TUFFY RED LG",5,25.49,55.99,127.45,279.95,152.5,0.544740132,Online,LG,609160,RED
60916005,"HOOD SWEAT OLD TUFFY RED XL",8,25.49,55.99,203.92,447.92,244,0.544740132,Online,XL,609160,RED
60916006,"HOOD SWEAT OLD TUFFY RED XXL",3,27.93,55.99,83.79,167.97,84.18,0.501160922,Online,XXL,609160,RED
60983202,"HOOD SWEAT OLD TUFFY GRY SM",1,25.49,55.99,25.49,55.99,30.5,0.544740132,Online,SM,609832,GRY
60983203,"HOOD SWEAT OLD TUFFY GRY MED",6,25.49,55.99,152.94,335.94,183,0.544740132,Online,MED,609832,GRY
60983204,"HOOD SWEAT OLD TUFFY GRY LG",3,25.49,55.99,76.47,167.97,91.5,0.544740132,Online,LG,609832,GRY
60983205,"HOOD SWEAT OLD TUFFY GRY XL",6,25.49,55.99,152.94,335.94,183,0.544740132,Online,XL,609832,GRY
60983206,"HOOD SWEAT OLD TUFFY GRY XXL",1,27.93,55.99,27.93,55.99,28.06,0.501160922,Online,XXL,609832,GRY
61193204,"OHT MENS RAGLAN HOODIE GRY/CAMO LG",3,34,74,102,222,120,0.540540541,Online,LG,611932,GRY/CAMO
61203204,"OHT MENS POLY FLC HOODIE LT GRY/CAMO LG",1,34,72,34,72,38,0.527777778,Online,LG,612032,GRY/CAMO
61203205,"OHT MENS POLY FLC HOODIE LT GRY/CAMO XL",2,34,72,68,144,76,0.527777778,Online,XL,612032,GRY/CAMO
75563002,"HOOD SWEAT",1,25.05037037,54.99,25.05,38.49,13.44,0.54446263,Online,SM,755630,BLK
75563003,"HOOD SWEAT",11,25.05071429,54.99,275.66,604.89,329.23,0.54446263,Online,MED,755630,BLK
75563004,"HOOD SWEAT",6,25.05184211,54.99,150.34,329.94,179.6,0.54446263,Online,LG,755630,BLK
75563005,"HOOD SWEAT",6,25.05230769,54.99,150.34,316.19,165.85,0.54446263,Online,XL,755630,BLK
75563006,"HOOD SWEAT",6,25.05785714,54.99,150.35,280.44,130.09,0.544280778,Online,XXL,755630,BLK
75573203,"HOOD SWEAT",14,25.05470588,54.99,350.77,720.36,369.59,0.54446263,Online,MED,755732,"CHAR GRY"
75573204,"HOOD SWEAT",12,25.05461538,54.99,300.65,593.88,293.23,0.54446263,Online,LG,755732,"CHAR GRY"
75573205,"HOOD SWEAT",4,25.05428571,54.99,100.2,170.46,70.26,0.54446263,Online,XL,755732,"CHAR GRY"
75573206,"HOOD SWEAT",1,25.05,54.99,25.06,38.49,13.43,0.54446263,Online,XXL,755732,"CHAR GRY"
75586002,"HOOD SWEAT",3,25.059,54.99,75.18,148.47,73.29,0.544280778,Online,SM,755860,RD
75586003,"HOOD SWEAT",8,25.05909091,54.99,200.48,426.17,225.69,0.544280778,Online,MED,755860,RD
75586004,"HOOD SWEAT",21,25.05833333,54.99,526.22,1072.29,546.07,0.544280778,Online,LG,755860,RD
75586005,"HOOD SWEAT",11,25.058,54.99,275.59,508.64,233.05,0.544280778,Online,XL,755860,RD
75586006,"HOOD SWEAT",6,25.05777778,54.99,150.27,280.44,130.17,0.544280778,Online,XXL,755860,RD
75593502,"HOOD SWEAT",2,25.059375,54.99,50.11,109.98,59.87,0.544280778,Online,SM,755935,WHT
75593503,"HOOD SWEAT",5,25.055,54.99,125.29,258.45,133.16,0.544280778,Online,MED,755935,WHT
75593504,"HOOD SWEAT",8,25.05473684,54.99,200.48,439.92,239.44,0.54446263,Online,LG,755935,WHT
75593505,"HOOD SWEAT",4,25.05888889,54.99,100.23,173.21,72.98,0.544280778,Online,XL,755935,WHT
75593506,"HOOD SWEAT",3,25.055,54.99,75.16,164.97,89.81,0.544280778,Online,XXL,755935,WHT
75603002,"HOOD SWEAT BLACK SM",4,25.05038462,54.99,100.2,219.96,119.76,0.54446263,Online,SM,756030,BLK
75603003,"HOOD SWEAT BLACK MED",14,25.051,54.99,350.72,758.31,407.59,0.54446263,Online,MED,756030,BLK
75603004,"HOOD SWEAT BLACK LG",28,25.0509375,54.99,701.42,1418.17,716.75,0.54446263,Online,LG,756030,BLK
75603005,"HOOD SWEAT BLACK XL",16,25.05148148,54.99,400.88,813.84,412.96,0.54446263,Online,XL,756030,BLK
75603006,"HOOD SWEAT BLACK XXL",2,25.05428571,54.99,50.08,109.98,59.9,0.54446263,Online,XXL,756030,BLK
75613206,"HOOD SWEAT",1,25.07333333,54.99,26,54.99,28.99,0.544098927,Online,XXL,756132,BLK
75626002,"HOOD SWEAT",1,25.05772727,54.99,25.06,54.99,29.93,0.544280778,Online,SM,756260,RD
75626003,"HOOD SWEAT",10,25.05485714,54.99,250.59,467.4,216.81,0.54446263,Online,MED,756260,RD
75626004,"HOOD SWEAT",12,25.0584375,54.99,300.44,610.38,309.94,0.544280778,Online,LG,756260,RD
75626005,"HOOD SWEAT",3,25.035,54.99,74.67,148.47,73.8,0.544644481,Online,XL,756260,RD
75626006,"HOOD SWEAT",2,25.06,54.99,49.63,93.48,43.85,0.544280778,Online,XXL,756260,RD
75633203,"HOOD SWEAT",2,25.06,54.99,50.12,93.48,43.36,0.544280778,Online,MED,756332,Unknown
75633204,"HOOD SWEAT",2,25.05666667,54.99,50.11,109.98,59.87,0.544280778,Online,LG,756332,Unknown
75633205,"HOOD SWEAT",1,25.05631579,54.99,25.06,54.99,29.93,0.544280778,Online,XL,756332,Unknown
